"State","Total.Ballots.Counted..Estimate.","Vote.for.Highest.Office..President.","VEP.Turnout.Rate","Voting.Eligible.Population..VEP.","Voting.Age.Population..VAP.","X..Non.citizen","Prison","Probation","Parole","Total.Ineligible.Felon","party_winner"
"Alabama",2306587,2297295,62.6,3683055,3837540,2.3,25898,50997,10266,67782,"REP"
"Alaska",367000,364253,69.8,525568,551117,3.4,4293,2074,1348,6927,"REP"
"Arizona",3400000,3374555,65.5,5189000,5798473,8.9,38520,76844,7536,93699,"DEM"
"Arkansas",1212030,1206697,55.5,2182375,2331171,3.6,17510,36719,24698,64974,"REP"
"California",16800000,16674275,64.7,25962648,30783255,15,104730,0,102586,207316,"DEM"
"Colorado",3295000,3270341,76.4,4313054,4595504,5.7,18905,0,0,18905,"DEM"
"Connecticut",1850000,1836155,71.1,2603327,2839560,7.7,13268,0,4452,17720,"DEM"
"Delaware",507805,502392,70.5,720531,780822,5.8,5874,14176,350,15013,"DEM"
"District of Columbia",350000,347380,64.7,540685,582065,7.1,0,0,0,0,"DEM"
"Florida",11150000,11066557,71.7,15551739,17543341,10.1,91674,205033,4345,223139,"REP"
"Georgia",5025000,4987394,68.1,7383562,8255108,6.6,50930,416771,20426,329754,"DEM"
"Hawaii",579165,573854,57.5,1007920,1114466,9.1,5007,0,0,5007,"DEM"
"Idaho",875000,867258,67.7,1292701,1384683,4.1,8378,34392,5267,34968,"REP"
"Illinois",6100000,6054349,67.6,9027082,9832749,7.8,38464,0,0,38464,"DEM"
"Indiana",3070000,3047025,61.4,5000007,5214546,3.6,26302,0,0,26302,"REP"
"Iowa",1825000,1811342,78.6,2321131,2439743,3.5,9216,29137,6652,33933,"REP"
"Kansas",1340000,1333513,64.2,2087946,2223238,4.9,9882,16455,5438,25522,"REP"
"Kentucky",2150951,2134993,64.9,3312250,3479257,2.8,23280,46967,15881,68281,"REP"
"Louisiana",2155000,2147395,63.9,3373932,3557594,2.8,32267,35025,29321,83304,"REP"
"Maine",860000,853564,79.2,1085285,1104489,1.7,0,0,0,0,"DEM"
"Maryland",3050000,3027174,70.7,4313416,4729400,8.4,18165,0,0,18165,"DEM"
"Massachusetts",3725000,3697123,73.4,5072901,5566452,8.7,7772,0,0,7772,"DEM"
"Michigan",5559186,5519348,73.6,7550147,7870864,3.6,38183,0,0,38183,"DEM"
"Minnesota",3290000,3278405,79.9,4118462,4378737,4.1,9712,100076,7381,79140,"DEM"
"Mississippi",1330000,1320046,60.4,2201950,2279412,1.4,19244,27294,9866,46032,"REP"
"Missouri",3050000,3012436,66.3,4603060,4794796,2.4,30148,43871,19251,76599,"REP"
"Montana",612055,603635,73.1,837298,851663,1.2,3754,0,0,3754,"REP"
"Nebraska",948852,935232,68.6,1383551,1469878,4.8,5263,14894,958,15455,"REP"
"Nevada",1370000,1359747,63.6,2153915,2450946,11.6,12399,0,0,12399,"DEM"
"New Hampshire",814092,803833,75.4,1079434,1115916,3,2635,0,0,2635,"DEM"
"New Jersey",4495000,4461361,73,6158999,6952008,11.1,18099,0,0,18099,"DEM"
"New Mexico",923612,919377,61,1515355,1634037,6.2,6887,12090,2805,17188,"DEM"
"New York",8930000,8863171,65.3,13670596,15372655,10.5,42408,0,45192,87600,"DEM"
"North Carolina",5600000,5558091,72.2,7759051,8328642,5.7,33640,80068,14215,97497,"REP"
"North Dakota",365000,357916,64.6,565143,584610,3,1679,0,0,1679,"REP"
"Ohio",6100000,6054349,68.9,8859167,9144626,2.6,49892,0,0,49892,"REP"
"Oklahoma",1565000,1560699,55,2845835,3031792,4.3,27558,41562,1780,55106,"REP"
"Oregon",2404642,2334666,75.2,3196425,3405863,5.7,13795,0,0,13795,"DEM"
"Pennsylvania",6900000,6848363,70.5,9781976,10186170,3.5,44148,0,0,44148,"DEM"
"Rhode Island",520000,516108,65,799642,857507,6.4,2766,0,0,2766,"DEM"
"South Carolina",2532995,2513314,64.5,3926305,4116633,3.6,18587,31975,4980,43392,"REP"
"South Dakota",427529,422609,66,648104,675016,2.4,3867,5989,3201,10781,"REP"
"Tennessee",3060000,3045401,59.7,5124867,5391220,3.6,26107,61253,10842,74926,"REP"
"Texas",11300000,11231799,60.2,18784280,22058260,12.6,154913,368167,109213,492390,"REP"
"Utah",1450000,1439148,66.2,2191487,2343384,6.2,6287,0,0,6287,"REP"
"Vermont",370000,367231,74,499884,511637,2.3,0,0,0,0,"DEM"
"Virginia",4425000,4409913,71.4,6196071,6727440,6.8,35743,63111,1860,76732,"DEM"
"Washington",4100000,4069317,75.4,5437844,6070046,9.1,18777,76672,12222,78536,"DEM"
"West Virginia",795000,789050,57,1394028,1422098,0.9,6757,6593,4287,15132,"REP"
"Wisconsin",3325000,3300117,76.1,4368530,4586746,3.2,23574,42909,21015,71193,"DEM"
"Wyoming",278503,276765,64.6,431364,447915,2.2,2488,5383,934,6759,"REP"
